Type,Content,content_cleaned,content_segmented,content_processed
p,2023年5月9日凌晨起，以色列国防军出动战机空袭对加沙地带发动多轮空袭，截至5月11日，袭击已造成30人死亡，76人受伤。[36][36]死者中包括杰哈德的3名领导人。[37][38]以色列方面遭到火箭弹袭击，造成至少1人死亡。[39]5月12日下午，以色列国防军对加沙地带中部一处公寓发动空袭，造成包括一名杰哈德高级成员在内的多人死亡。[40]5月13日，杰哈德同以色列达成停火协议[41]。5月22日，巴勒斯坦卫生部表示，以色列军队在纳布卢斯打死3名巴勒斯坦人。[42],年月日凌晨起以色列国防军出动战机空袭对加沙地带发动多轮空袭截至月日袭击已造成人死亡人受伤死者中包括杰哈德的名领导人以色列方面遭到火箭弹袭击造成至少人死亡月日下午以色列国防军对加沙地带中部一处公寓发动空袭造成包括一名杰哈德高级成员在内的多人死亡月日杰哈德同以色列达成停火协议月日巴勒斯坦卫生部表示以色列军队在纳布卢斯打死名巴勒斯坦人,年月日 凌晨 起 以色列国防军 出动 战机 空袭 对 加沙 地带 发动 多轮 空袭 截至 月 日 袭击 已 造成 人 死亡 人 受伤 死者 中 包括 杰哈德 的 名 领导人 以色列 方面 遭到 火箭弹 袭击 造成 至少 人 死亡 月 日 下午 以色列国防军 对 加沙 地带 中部 一处 公寓 发动 空袭 造成 包括 一名 杰哈德 高级 成员 在内 的 多 人 死亡 月 日 杰哈德 同 以色列 达成 停火协议 月 日 巴勒斯坦 卫生部 表示 以色列 军队 在 纳布卢斯 打死 名 巴勒斯坦人,年月日 凌晨 起 以色列国防军 出动 战机 空袭 对 加沙 地带 发动 多轮 空袭 截至 月 日 袭击 已 造成 死亡 受伤 死者 中 包括 杰哈德 名 领导人 以色列 方面 遭到 火箭弹 袭击 造成 至少 死亡 月 日 下午 以色列国防军 对 加沙 地带 中部 一处 公寓 发动 空袭 造成 包括 一名 杰哈德 高级 成员 在内 多 死亡 月 日 杰哈德 同 以色列 达成 停火协议 月 日 巴勒斯坦 卫生部 表示 以色列 军队 纳布卢斯 打死 名 巴勒斯坦人
p,2023年6月19日，以色列突袭杰宁难民营，打死了包括一名儿童在内的5名巴勒斯坦人，另有691人受伤，其中包括7名以色列士兵。另外这也是以色列20年年来首次动用飞机轰炸约旦河西岸目标。[43],年月日以色列突袭杰宁难民营打死了包括一名儿童在内的名巴勒斯坦人另有人受伤其中包括名以色列士兵另外这也是以色列年年来首次动用飞机轰炸约旦河西岸目标,年月日 以色列 突袭 杰宁 难民营 打死 了 包括 一名 儿童 在内 的 名 巴勒斯坦人 另 有人 受伤 其中 包括 名 以色列 士兵 另外 这 也 是 以色列 年 年 来 首次 动用 飞机 轰炸 约旦河西岸 目标,年月日 以色列 突袭 杰宁 难民营 打死 包括 一名 儿童 在内 名 巴勒斯坦人 另 有人 受伤 其中 包括 名 以色列 士兵 另外 以色列 年 年 来 首次 动用 飞机 轰炸 约旦河西岸 目标
p,2023年6月20日，两名巴勒斯坦哈马斯武装人员在约旦河西岸的一处犹太人定居点开枪，造成4名以色列人死亡，另有4人受伤。两名袭击者被以军开枪打死。之后以色列国防军宣布向约旦河西岸增派兵力。同时大批犹太定居者攻击了位于约旦河西岸的多个巴勒斯坦城镇，冲突导致至少有30多名巴勒斯坦人受伤。[44],年月日两名巴勒斯坦哈马斯武装人员在约旦河西岸的一处犹太人定居点开枪造成名以色列人死亡另有人受伤两名袭击者被以军开枪打死之后以色列国防军宣布向约旦河西岸增派兵力同时大批犹太定居者攻击了位于约旦河西岸的多个巴勒斯坦城镇冲突导致至少有多名巴勒斯坦人受伤,年月日 两名 巴勒斯坦 哈马斯 武装人员 在 约旦河西岸 的 一处 犹太人 定居点 开枪 造成 名 以色列 人 死亡 另 有人 受伤 两名 袭击者 被 以军 开枪 打死 之后 以色列国防军 宣布 向 约旦河西岸 增派 兵力 同时 大批 犹太 定居者 攻击 了 位于 约旦河西岸 的 多个 巴勒斯坦 城镇 冲突 导致 至少 有 多名 巴勒斯坦人 受伤,年月日 两名 巴勒斯坦 哈马斯 武装人员 约旦河西岸 一处 犹太人 定居点 开枪 造成 名 以色列 死亡 另 有人 受伤 两名 袭击者 被 以军 开枪 打死 之后 以色列国防军 宣布 向 约旦河西岸 增派 兵力 同时 大批 犹太 定居者 攻击 位于 约旦河西岸 多个 巴勒斯坦 城镇 冲突 导致 至少 多名 巴勒斯坦人 受伤
p,2023年6月21日，以色列军方使用无人机对杰宁一辆汽车发动空袭，造成3名巴勒斯坦人死亡。这是以军2005年以来，首次在西岸地区利用无人机实施暗杀行动。[45],年月日以色列军方使用无人机对杰宁一辆汽车发动空袭造成名巴勒斯坦人死亡这是以军年以来首次在西岸地区利用无人机实施暗杀行动,年月日 以色列 军方 使用 无人机 对杰宁 一辆 汽车 发动 空袭 造成 名 巴勒斯坦人 死亡 这是 以军 年 以来 首次 在 西岸地区 利用 无人机 实施 暗杀 行动,年月日 以色列 军方 使用 无人机 对杰宁 一辆 汽车 发动 空袭 造成 名 巴勒斯坦人 死亡 这是 以军 年 以来 首次 西岸地区 利用 无人机 实施 暗杀 行动
p,2023年7月3日，以色列军队对杰宁难民营发起突袭，导致至少12名巴勒斯坦人死亡，140人受伤。[46][47]巴勒斯坦总统阿巴斯宣布中断与以方的联系和安全协调。[48]7月4日，特拉维夫北部一街区发生一起驾车袭击事件，造成7人受伤。袭击者被开枪打死。巴勒斯坦伊斯兰抵抗运动发表声明确认袭击者为该组织成员，称袭击目的是为报复以色列正在杰宁进行的大规模军事行动。[49]加沙地带有人朝以色列发射火箭弹。以色列战斗机随即朝加沙地带北部巴勒斯坦伊斯兰抵抗运动的一处地点以及加沙城以西的另一处地点发射导弹[50]。,年月日以色列军队对杰宁难民营发起突袭导致至少名巴勒斯坦人死亡人受伤巴勒斯坦总统阿巴斯宣布中断与以方的联系和安全协调月日特拉维夫北部一街区发生一起驾车袭击事件造成人受伤袭击者被开枪打死巴勒斯坦伊斯兰抵抗运动发表声明确认袭击者为该组织成员称袭击目的是为报复以色列正在杰宁进行的大规模军事行动加沙地带有人朝以色列发射火箭弹以色列战斗机随即朝加沙地带北部巴勒斯坦伊斯兰抵抗运动的一处地点以及加沙城以西的另一处地点发射导弹,年月日 以色列 军队 对杰宁 难民营 发起 突袭 导致 至少 名 巴勒斯坦人 死亡 人 受伤 巴勒斯坦 总统 阿巴斯 宣布 中断 与 以方 的 联系 和 安全 协调 月 日 特拉维夫 北部 一 街区 发生 一起 驾车 袭击 事件 造成 人 受伤 袭击者 被 开枪 打死 巴勒斯坦伊斯兰抵抗运动 发表声明 确认 袭击者 为 该 组织 成员 称 袭击 目的 是 为 报复 以色列 正在 杰宁 进行 的 大规模 军事行动 加沙 地带 有人 朝 以色列 发射 火箭弹 以色列 战斗机 随即 朝 加沙 地带 北部 巴勒斯坦伊斯兰抵抗运动 的 一处 地点 以及 加沙城 以西 的 另 一处 地点 发射 导弹,年月日 以色列 军队 对杰宁 难民营 发起 突袭 导致 至少 名 巴勒斯坦人 死亡 受伤 巴勒斯坦 总统 阿巴斯 宣布 中断 与 以方 联系 安全 协调 月 日 特拉维夫 北部 街区 发生 一起 驾车 袭击 事件 造成 受伤 袭击者 被 开枪 打死 巴勒斯坦伊斯兰抵抗运动 发表声明 确认 袭击者 为 该 组织 成员 称 袭击 目的 为 报复 以色列 正在 杰宁 进行 大规模 军事行动 加沙 地带 有人 朝 以色列 发射 火箭弹 以色列 战斗机 随即 朝 加沙 地带 北部 巴勒斯坦伊斯兰抵抗运动 一处 地点 以及 加沙城 以西 另 一处 地点 发射 导弹
p,"2023年10月7日（第四次中东战争五十周年纪念日），巴勒斯坦武装组织哈马斯由加沙地带发动代号“阿克萨洪水”的军事行动，发射逾5,000枚火箭弹袭击以色列并派员进入其南部领土。并俘虏了多名以色列国防军将领，以色列国防军随后向对方空袭予以还击，并发出“战争状态警报”。[51][52][53][54]，目前，以色列总理内塔尼亚胡敦促以色列人离开加沙，10月9日，以色列国防部长加兰特表示已下令全面包围加沙地带。",年月日第四次中东战争五十周年纪念日巴勒斯坦武装组织哈马斯由加沙地带发动代号阿克萨洪水的军事行动发射逾枚火箭弹袭击以色列并派员进入其南部领土并俘虏了多名以色列国防军将领以色列国防军随后向对方空袭予以还击并发出战争状态警报目前以色列总理内塔尼亚胡敦促以色列人离开加沙月日以色列国防部长加兰特表示已下令全面包围加沙地带,年月日 第四次 中东战争 五十周年 纪念日 巴勒斯坦 武装 组织 哈马斯 由 加沙 地带 发动 代号 阿克萨 洪水 的 军事行动 发射 逾枚 火箭弹 袭击 以色列 并 派员 进入 其 南部 领土 并 俘虏 了 多名 以色列国防军 将领 以色列国防军 随后 向 对方 空袭 予以 还击 并 发出 战争状态 警报 目前 以色列 总理 内塔尼亚胡 敦促 以色列 人 离开 加沙 月 日 以色列 国防部长 加 兰特 表示 已 下令 全面 包围 加沙 地带,年月日 第四次 中东战争 五十周年 纪念日 巴勒斯坦 武装 组织 哈马斯 由 加沙 地带 发动 代号 阿克萨 洪水 军事行动 发射 逾枚 火箭弹 袭击 以色列 并 派员 进入 其 南部 领土 并 俘虏 多名 以色列国防军 将领 以色列国防军 随后 向 对方 空袭 予以 还击 并 发出 战争状态 警报 目前 以色列 总理 内塔尼亚胡 敦促 以色列 离开 加沙 月 日 以色列 国防部长 加 兰特 表示 已 下令 全面 包围 加沙 地带
p,2023年10月18日，联合国安理会就巴以冲突举行了会议，对巴西提出的一份呼吁“实行人道主义暂时停火”的决议草案进行表决，12票赞成、1票反对和2票弃权。由于联合国常任理事国美国，使用了一票否决权，草案最终未能通过。[55],年月日联合国安理会就巴以冲突举行了会议对巴西提出的一份呼吁实行人道主义暂时停火的决议草案进行表决票赞成票反对和票弃权由于联合国常任理事国美国使用了一票否决权草案最终未能通过,年月日 联合国安理会 就 巴以 冲突 举行 了 会议 对 巴西 提出 的 一份 呼吁 实行 人道主义 暂时 停火 的 决议 草案 进行 表决 票 赞成票 反对 和 票 弃权 由于 联合国 常任理事 国 美国 使用 了 一票否决权 草案 最终 未能 通过,年月日 联合国安理会 巴以 冲突 举行 会议 对 巴西 提出 一份 呼吁 实行 人道主义 暂时 停火 决议 草案 进行 表决 票 赞成票 反对 票 弃权 由于 联合国 常任理事 国 美国 使用 一票否决权 草案 最终 未能 通过
p,2023年11月13日，以色列拒绝国际社会的停火呼声和示威浪潮，继续在加沙北部难民营对哈马斯武装分子发动进攻。加沙巴人政府称，在空袭中丧生的居民人数已上升至11180人，受伤人数超过28000人。[56],年月日以色列拒绝国际社会的停火呼声和示威浪潮继续在加沙北部难民营对哈马斯武装分子发动进攻加沙巴人政府称在空袭中丧生的居民人数已上升至人受伤人数超过人,年月日 以色列 拒绝 国际 社会 的 停火 呼声 和 示威 浪潮 继续 在 加沙 北部 难民营 对 哈马斯 武装 分子 发动 进攻 加沙 巴人 政府 称 在 空袭 中 丧生 的 居民 人数 已 上升 至人 受伤 人数 超过 人,年月日 以色列 拒绝 国际 社会 停火 呼声 示威 浪潮 继续 加沙 北部 难民营 对 哈马斯 武装 分子 发动 进攻 加沙 巴人 政府 称 空袭 中 丧生 居民 人数 已 上升 至人 受伤 人数 超过
h2,和平进程[编辑],和平进程编辑,和平 进程 编辑,和平 进程 编辑
p,在1991年，就在波斯湾战争之后，当美国总统乔治·H·W·布什在西班牙的马德里召开了一次被称作1991年马德里和平会议之后，突破性发展发生了。在主办国挪威，以色列和巴勒斯坦举行了一系列的秘密会谈。会后，巴解组织主席亚西尔·阿拉法特和以色列总理伊扎克·拉宾还有美国总统比尔·克林顿在白宫草坪上签署了奥斯陆协议。对于他们的努力，拉宾、阿拉法特和以色列外交部长西蒙·佩雷斯获授1994年度诺贝尔和平奖。,在年就在波斯湾战争之后当美国总统乔治布什在西班牙的马德里召开了一次被称作年马德里和平会议之后突破性发展发生了在主办国挪威以色列和巴勒斯坦举行了一系列的秘密会谈会后巴解组织主席亚西尔阿拉法特和以色列总理伊扎克拉宾还有美国总统比尔克林顿在白宫草坪上签署了奥斯陆协议对于他们的努力拉宾阿拉法特和以色列外交部长西蒙佩雷斯获授年度诺贝尔和平奖,在 年 就 在 波斯湾 战争 之后 当 美国 总统 乔治 布什 在 西班牙 的 马德里 召开 了 一次 被称作 年 马德里 和平 会议 之后 突破性 发展 发生 了 在 主办国 挪威 以色列 和 巴勒斯坦 举行 了 一系列 的 秘密 会谈 会后 巴解组织 主席 亚西尔 阿拉法特 和 以色列 总理 伊 扎克 拉宾 还有 美国 总统 比尔 克林顿 在 白宫 草坪 上 签署 了 奥斯陆 协议 对于 他们 的 努力 拉宾 阿拉法特 和 以色列 外交部长 西蒙 佩雷斯 获授 年度 诺贝尔和平奖,年 波斯湾 战争 之后 当 美国 总统 乔治 布什 西班牙 马德里 召开 一次 被称作 年 马德里 和平 会议 之后 突破性 发展 发生 主办国 挪威 以色列 巴勒斯坦 举行 一系列 秘密 会谈 会后 巴解组织 主席 亚西尔 阿拉法特 以色列 总理 伊 扎克 拉宾 还有 美国 总统 比尔 克林顿 白宫 草坪 签署 奥斯陆 协议 对于 他们 努力 拉宾 阿拉法特 以色列 外交部长 西蒙 佩雷斯 获授 年度 诺贝尔和平奖
p,在1995年拉宾被暗杀之后，和平进程减慢到几乎停止的地步。巴勒斯坦人在居住地上的生活程况没有改善，以色列定居点也没有拆除。并且，居住在西岸地区的巴勒斯坦人遭受到了来自巴勒斯坦军事组织的自杀式炸弹袭击，夹杂在以色列人的还击下，他们感觉无法生活下去了。,在年拉宾被暗杀之后和平进程减慢到几乎停止的地步巴勒斯坦人在居住地上的生活程况没有改善以色列定居点也没有拆除并且居住在西岸地区的巴勒斯坦人遭受到了来自巴勒斯坦军事组织的自杀式炸弹袭击夹杂在以色列人的还击下他们感觉无法生活下去了,在 年 拉宾 被 暗杀 之后 和平 进程 减慢 到 几乎 停止 的 地步 巴勒斯坦人 在 居住地 上 的 生活 程况 没有 改善 以色列 定居点 也 没有 拆除 并且 居住 在 西岸地区 的 巴勒斯坦人 遭受 到 了 来自 巴勒斯坦 军事 组织 的 自杀式 炸弹 袭击 夹杂 在 以色列 人 的 还击 下 他们 感觉 无法 生活 下去 了,年 拉宾 被 暗杀 之后 和平 进程 减慢 几乎 停止 地步 巴勒斯坦人 居住地 生活 程况 改善 以色列 定居点 拆除 并且 居住 西岸地区 巴勒斯坦人 遭受 来自 巴勒斯坦 军事 组织 自杀式 炸弹 袭击 夹杂 以色列 还击 下 他们 感觉 无法 生活 下去
p,2000年，美国总统克林顿召集了一次巴勒斯坦总统亚西尔·阿拉法特和以色列总理埃胡德·巴拉克之间的和平高峰会。以色列总理巴拉克称已经提供了巴勒斯坦人大约95%的有争执的领土，连同在东耶路撒冷上的巴勒斯坦主权。,年美国总统克林顿召集了一次巴勒斯坦总统亚西尔阿拉法特和以色列总理埃胡德巴拉克之间的和平高峰会以色列总理巴拉克称已经提供了巴勒斯坦人大约的有争执的领土连同在东耶路撒冷上的巴勒斯坦主权,年 美国 总统 克林顿 召集 了 一次 巴勒斯坦 总统 亚西尔 阿拉法特 和 以色列 总理 埃胡德 巴拉克 之间 的 和平 高峰会 以色列 总理 巴拉克 称 已经 提供 了 巴勒斯坦人 大约 的 有 争执 的 领土 连同 在 东耶路撒冷 上 的 巴勒斯坦 主权,年 美国 总统 克林顿 召集 一次 巴勒斯坦 总统 亚西尔 阿拉法特 以色列 总理 埃胡德 巴拉克 之间 和平 高峰会 以色列 总理 巴拉克 称 已经 提供 巴勒斯坦人 大约 争执 领土 连同 东耶路撒冷 巴勒斯坦 主权
p,但很多人说，巴拉克提及的69处犹太人定居点（包括85%的西岸犹太人）被划分给以色列，共计是10%的西岸区领土，巴拉克也提议“以色列临时控制”的另外的10%的西岸区是有争议的领土，这一个地区包括许多其他的犹太部落。剩余80%被提议的巴勒斯坦所属西岸地区被以色列公路旁的检查站所瓦解，因为这让巴勒斯坦人削弱他们自由地旅行在领土上旅行而且减少吸收巴勒斯坦难民的能力，尽管克林顿总统先生努力，阿拉法特仍抵制了这个提议并且和谈破裂。,但很多人说巴拉克提及的处犹太人定居点包括的西岸犹太人被划分给以色列共计是的西岸区领土巴拉克也提议以色列临时控制的另外的的西岸区是有争议的领土这一个地区包括许多其他的犹太部落剩余被提议的巴勒斯坦所属西岸地区被以色列公路旁的检查站所瓦解因为这让巴勒斯坦人削弱他们自由地旅行在领土上旅行而且减少吸收巴勒斯坦难民的能力尽管克林顿总统先生努力阿拉法特仍抵制了这个提议并且和谈破裂,但 很多 人 说 巴拉克 提及 的 处 犹太人 定居点 包括 的 西岸 犹太人 被 划分 给 以色列 共计 是 的 西岸 区 领土 巴拉克 也 提议 以色列 临时 控制 的 另外 的 的 西岸 区 是 有 争议 的 领土 这 一个 地区 包括 许多 其他 的 犹太 部落 剩余 被 提议 的 巴勒斯坦 所属 西岸地区 被 以色列 公路 旁 的 检查站 所 瓦解 因为 这 让 巴勒斯坦人 削弱 他们 自由 地 旅行 在 领土 上 旅行 而且 减少 吸收 巴勒斯坦 难民 的 能力 尽管 克林顿 总统 先生 努力 阿拉法特 仍 抵制 了 这个 提议 并且 和谈 破裂,但 很多 巴拉克 提及 处 犹太人 定居点 包括 西岸 犹太人 被 划分 给 以色列 共计 西岸 区 领土 巴拉克 提议 以色列 临时 控制 另外 西岸 区 争议 领土 地区 包括 许多 其他 犹太 部落 剩余 被 提议 巴勒斯坦 所属 西岸地区 被 以色列 公路 旁 检查站 所 瓦解 因为 让 巴勒斯坦人 削弱 他们 自由 地 旅行 领土 旅行 而且 减少 吸收 巴勒斯坦 难民 能力 尽管 克林顿 总统 先生 努力 阿拉法特 仍 抵制 这个 提议 并且 和谈 破裂
p,在2001年一月在Taba的协议稍后，以色列谈判者呈现了一个新的地图。建议移走“临时受以色列人管制的”地区，巴勒斯坦方面接受了这个提议。然而，巴拉克没有一个有利的位置来把这呈现给以色列的民众因为他的支持率很低还有西岸的公共暴行攻击，他没有作更多是要求。和谈并没有任何协议签署。之后，右翼联合党候选人沙龙在2001年2月当选为以色列总理。,在年一月在的协议稍后以色列谈判者呈现了一个新的地图建议移走临时受以色列人管制的地区巴勒斯坦方面接受了这个提议然而巴拉克没有一个有利的位置来把这呈现给以色列的民众因为他的支持率很低还有西岸的公共暴行攻击他没有作更多是要求和谈并没有任何协议签署之后右翼联合党候选人沙龙在年月当选为以色列总理,在 年 一月 在 的 协议 稍后 以色列 谈判者 呈现 了 一个 新 的 地图 建议 移走 临时 受 以色列 人 管制 的 地区 巴勒斯坦 方面 接受 了 这个 提议 然而 巴拉克 没有 一个 有利 的 位置 来 把 这 呈现 给 以色列 的 民众 因为 他 的 支持率 很 低 还有 西岸 的 公共 暴行 攻击 他 没有 作 更 多 是 要求 和谈 并 没有 任何 协议 签署 之后 右翼 联合党 候选人 沙龙 在 年 月 当选 为 以色列 总理,年 一月 协议 稍后 以色列 谈判者 呈现 新 地图 建议 移走 临时 受 以色列 管制 地区 巴勒斯坦 方面 接受 这个 提议 然而 巴拉克 有利 位置 来 把 呈现 给 以色列 民众 因为 他 支持率 低 还有 西岸 公共 暴行 攻击 他 作 更 多 要求 和谈 并 任何 协议 签署 之后 右翼 联合党 候选人 沙龙 年 月 当选 为 以色列 总理
h3,和平路线图[编辑],和平路线图编辑,和平 路线图 编辑,和平 路线图 编辑
p,在2002年7月，在美国的四方斡旋下，向欧盟、联合国和俄罗斯概略的说明了一个称作“和平路线图”的原理，它包括了一个中立的巴勒斯坦国。路线图在2003年四月会见首任巴勒斯坦当局总理阿巴斯后发布。美国和以色列为这个首任新总理上台高兴，他们两者都拒绝与阿拉法特进行和谈。,在年月在美国的四方斡旋下向欧盟联合国和俄罗斯概略的说明了一个称作和平路线图的原理它包括了一个中立的巴勒斯坦国路线图在年四月会见首任巴勒斯坦当局总理阿巴斯后发布美国和以色列为这个首任新总理上台高兴他们两者都拒绝与阿拉法特进行和谈,在 年 月 在 美国 的 四方 斡旋 下向 欧盟 联合国 和 俄罗斯 概略 的 说明 了 一个 称作 和平 路线图 的 原理 它 包括 了 一个 中立 的 巴勒斯坦国 路线图 在 年 四月 会见 首任 巴勒斯坦 当局 总理 阿巴斯 后 发布 美国 和 以色列 为 这个 首任 新 总理 上台 高兴 他们 两者 都 拒绝 与 阿拉法特 进行 和谈,年 月 美国 四方 斡旋 下向 欧盟 联合国 俄罗斯 概略 说明 称作 和平 路线图 原理 它 包括 中立 巴勒斯坦国 路线图 年 四月 会见 首任 巴勒斯坦 当局 总理 阿巴斯 后 发布 美国 以色列 为 这个 首任 新 总理 上台 高兴 他们 两者 拒绝 与 阿拉法特 进行 和谈
p,这个计划要求以色列和巴勒斯坦当局各自独立行动，暂时搁置争议直到能建立亲善关系为止。,这个计划要求以色列和巴勒斯坦当局各自独立行动暂时搁置争议直到能建立亲善关系为止,这个 计划 要求 以色列 和 巴勒斯坦 当局 各自 独立 行动 暂时 搁置 争议 直到 能 建立 亲善 关系 为止,这个 计划 要求 以色列 巴勒斯坦 当局 各自 独立 行动 暂时 搁置 争议 直到 能 建立 亲善 关系 为止
p,在成功当选之后，阿巴斯说他无法不挑起内战反对哈马斯。很清楚的是阿巴斯只控制了巴勒斯坦安全设施的一小部分，大部分依然由阿拉法特牢牢控制着。在2003年6月29日，哈马斯和回教讨伐异教徒组织同意了3个月的“hudna（英语：hudna）”（临时停火），附加条件是以色列停止暗杀巴勒斯坦领袖和停止处死被以色列管理拘留处释放的巴勒斯坦人。以色列则答应撤回在巴勒斯坦地区的一些军队但是不答应撤销它的暗杀行为。,在成功当选之后阿巴斯说他无法不挑起内战反对哈马斯很清楚的是阿巴斯只控制了巴勒斯坦安全设施的一小部分大部分依然由阿拉法特牢牢控制着在年月日哈马斯和回教讨伐异教徒组织同意了个月的英语临时停火附加条件是以色列停止暗杀巴勒斯坦领袖和停止处死被以色列管理拘留处释放的巴勒斯坦人以色列则答应撤回在巴勒斯坦地区的一些军队但是不答应撤销它的暗杀行为,在 成功 当选 之后 阿巴斯 说 他 无法 不 挑起 内战 反对 哈马斯 很 清楚 的 是 阿巴斯 只 控制 了 巴勒斯坦 安全 设施 的 一小部分 大部分 依然 由 阿拉法特 牢牢 控制 着 在 年月日 哈马斯 和 回教 讨伐 异教徒 组织 同意 了 个 月 的 英语 临时 停火 附加条件 是 以色列 停止 暗杀 巴勒斯坦 领袖 和 停止 处死 被 以色列 管理 拘留 处 释放 的 巴勒斯坦人 以色列 则 答应 撤回 在 巴勒斯坦地区 的 一些 军队 但是 不 答应 撤销 它 的 暗杀 行为,成功 当选 之后 阿巴斯 他 无法 挑起 内战 反对 哈马斯 清楚 阿巴斯 只 控制 巴勒斯坦 安全 设施 一小部分 大部分 依然 由 阿拉法特 牢牢 控制 年月日 哈马斯 回教 讨伐 异教徒 组织 同意 个 月 英语 临时 停火 附加条件 以色列 停止 暗杀 巴勒斯坦 领袖 停止 处死 被 以色列 管理 拘留 处 释放 巴勒斯坦人 以色列 则 答应 撤回 巴勒斯坦地区 一些 军队 但是 答应 撤销 它 暗杀 行为
p,大约6个星期之久，暴行行为真正的减少了：除了在边界。在8月12日hudna在快速被阐明之后。以色列暗杀了二名哈马斯战士和另外二个进入那布卢斯的人。隔天来自那不勒斯的一架哈马斯自杀式炸弹袭击者和一个回教讨伐异教徒组织的自杀式炸弹袭击者各杀了一个以色列人，并打伤数人。8月14日，以色列暗杀了穆罕默德播种者-回教讨伐异教徒组织领袖军事执行官希布伦。8月19日一个哈马斯自杀式炸弹袭击者杀死了34个刚刚在哭墙祈祷后坐公共汽车回来的犹太人。二天之后，以色列直升飞机杀了一个第4级别的哈马斯领袖分子，伊斯迈·阿布·夏那布。哈马斯和回教讨伐异教徒组织申明在现阶段与hudna脱离关系，虽然它实际上早已停止。接下来的几天，以色列直升飞机发射导弹攻击了哈马斯领导所在的加萨走廊。以色列突击队也在希布伦对寻找哈马斯头目阿贝达拉·库瓦萨马、阿默德·巴德和那不勒斯的穆罕莫德·哈那里目标。双方的行动都令其他民众意外伤亡。,大约个星期之久暴行行为真正的减少了除了在边界在月日在快速被阐明之后以色列暗杀了二名哈马斯战士和另外二个进入那布卢斯的人隔天来自那不勒斯的一架哈马斯自杀式炸弹袭击者和一个回教讨伐异教徒组织的自杀式炸弹袭击者各杀了一个以色列人并打伤数人月日以色列暗杀了穆罕默德播种者回教讨伐异教徒组织领袖军事执行官希布伦月日一个哈马斯自杀式炸弹袭击者杀死了个刚刚在哭墙祈祷后坐公共汽车回来的犹太人二天之后以色列直升飞机杀了一个第级别的哈马斯领袖分子伊斯迈阿布夏那布哈马斯和回教讨伐异教徒组织申明在现阶段与脱离关系虽然它实际上早已停止接下来的几天以色列直升飞机发射导弹攻击了哈马斯领导所在的加萨走廊以色列突击队也在希布伦对寻找哈马斯头目阿贝达拉库瓦萨马阿默德巴德和那不勒斯的穆罕莫德哈那里目标双方的行动都令其他民众意外伤亡,大约 个 星期 之 久 暴行 行为 真正 的 减少 了 除了 在 边界 在 月 日 在 快速 被 阐明 之后 以色列 暗杀 了 二名 哈马斯 战士 和 另外 二个 进入 那 布卢斯 的 人 隔天 来自 那不勒斯 的 一架 哈马斯 自杀式 炸弹 袭击者 和 一个 回教 讨伐 异教徒 组织 的 自杀式 炸弹 袭击者 各杀 了 一个 以色列 人 并 打伤 数人 月 日 以色列 暗杀 了 穆罕默德 播种者 回教 讨伐 异教徒 组织 领袖 军事 执行官 希布伦 月 日 一个 哈马斯 自杀式 炸弹 袭击者 杀死 了 个 刚刚 在 哭墙 祈祷 后坐 公共汽车 回来 的 犹太人 二天 之后 以色列 直升飞机 杀 了 一个 第 级别 的 哈马斯 领袖 分子 伊斯 迈阿布 夏 那布 哈马斯 和 回教 讨伐 异教徒 组织 申明 在 现阶段 与 脱离关系 虽然 它 实际上 早已 停止 接下来 的 几天 以色列 直升飞机 发射 导弹 攻击 了 哈马斯 领导 所在 的 加萨走廊 以色列 突击队 也 在 希布伦 对 寻找 哈马斯 头目 阿贝 达拉 库瓦萨马 阿 默德 巴德 和 那不勒斯 的 穆罕 莫德哈 那里 目标 双方 的 行动 都 令 其他 民众 意外 伤亡,大约 个 星期 之 久 暴行 行为 真正 减少 除了 边界 月 日 快速 被 阐明 之后 以色列 暗杀 二名 哈马斯 战士 另外 二个 进入 那 布卢斯 隔天 来自 那不勒斯 一架 哈马斯 自杀式 炸弹 袭击者 回教 讨伐 异教徒 组织 自杀式 炸弹 袭击者 各杀 以色列 并 打伤 数人 月 日 以色列 暗杀 穆罕默德 播种者 回教 讨伐 异教徒 组织 领袖 军事 执行官 希布伦 月 日 哈马斯 自杀式 炸弹 袭击者 杀死 个 刚刚 哭墙 祈祷 后坐 公共汽车 回来 犹太人 二天 之后 以色列 直升飞机 杀 第 级别 哈马斯 领袖 分子 伊斯 迈阿布 夏 那布 哈马斯 回教 讨伐 异教徒 组织 申明 现阶段 与 脱离关系 虽然 它 实际上 早已 停止 接下来 几天 以色列 直升飞机 发射 导弹 攻击 哈马斯 领导 所在 加萨走廊 以色列 突击队 希布伦 对 寻找 哈马斯 头目 阿贝 达拉 库瓦萨马 阿 默德 巴德 那不勒斯 穆罕 莫德哈 那里 目标 双方 行动 令 其他 民众 意外 伤亡
